ID,Easting (X),Northing (Y),Point ID,NDVI,NDRE,Soil_pH,Buffer_pH,Excess_Lime,Soluble_Salts,OM_pct,NO3_D1_ppm,NO3_D1_lbs_A,NO3_Total_lbs_A,NO3_Total_Depth,Bicarb_P_ppm,SO4_ppm,ExchK_ppm,ExchCa_ppm,ExchMg_ppm,ExchNa_ppm,Zn_ppm,Fe_ppm,Mn_ppm,Cu_ppm,Boron_ppm,CEC_me_100g,Base_Sat_pct,H_Sat_pct,Ca_Sat_pct,Mg_Sat_pct,K_Sat_pct,Na_Sat_pct
1,336521.295,4451922.229,21,-0.0841251,0.0129629,7.6,,H,1.1,6.7,1.7,6,6,12,6,32,86,3700,479,53,0.9,55.1,8.4,1.7,1.2,22.9,100,0,81,17,1,1
2,336381.295,4451902.229,98,-0.1257701,0.0546327,7.3,,H,1.52,8.9,2,7,7,12,6,20,163,5420,565,49,3.2,63.7,3.5,1.8,1.2,32.4,100,0,83,15,1,1
3,336531.295,4451757.229,1026,-0.1104667,0.0386473,7.5,,H,1.32,9.4,1.6,6,6,12,6,30,149,5710,484,61,1.1,33,4.5,1.6,1.2,33.2,100,0,86,12,1,1
4,336661.295,4451667.229,1591,0.1638641,0.1512332,7.1,,H,1.26,4.3,4.2,15,15,12,9,31,192,3690,454,67,3.9,46.9,4.9,1.4,0.6,23,100,0,81,16,2,1
5,336526.295,4451572.229,1963,-0.046516,0.0626821,7.1,,N,1.38,7,1.7,6,6,12,4,24,193,4050,484,40,1.9,63.8,3.1,1.5,0.7,25,100,0,81,16,2,1
6,336711.295,4451422.229,2418,0.1220325,0.1351586,7.1,,N,1.28,11.6,1.4,5,5,12,13,21,205,5360,511,61,2.1,63.2,8.8,1.3,1,31.8,100,0,84,13,2,1
7,336731.295,4451272.229,3578,0.1726467,0.1109942,6.5,6.5,N,1.28,11.6,1.8,6,6,12,4,37,105,3120,343,51,1.6,310,62.6,2.1,1.3,23.9,79,21,65,12,1,1
8,336856.295,4451272.229,3595,0.3904505,0.1190853,6.9,6.9,N,1.56,6.1,3.5,13,13,12,9,30,157,3710,419,79,3.3,182,15.9,1.8,0.9,23.8,96,4,78,15,2,1
9,336741.295,4451117.229,4808,-0.1165507,0.0878605,7.3,,M,1.22,7.3,1.9,7,7,12,9,43,103,3940,615,95,1.4,92,8.3,1.3,0.7,25.5,100,0,77,20,1,2
10,336876.295,4451037.229,5270,0.373257,0.1682208,6.6,6.7,N,1.28,10.9,22.9,82,82,12,29,17,176,3080,383,33,6.9,148,10.8,1.2,0.9,22.2,86,14,69,14,2,1
11,336861.295,4450892.229,5671,0.0840622,0.0897961,6.9,6.9,N,1.04,4.7,8.6,31,31,12,20,13,170,3180,403,32,1.4,95.1,3,1.3,0.5,20.8,95,5,76,16,2,1
12,336911.295,4450757.229,6025,-0.147951,0.0225733,6.8,6.8,N,1.04,6.6,2.5,9,9,12,9,11,160,3520,381,50,2.1,87.7,4.8,1.1,0.6,23.4,91,9,74,14,2,1
