ID,NDVI,NDRE,E,N
1,0.045285,0.0536938,336366.295,4451932.229
2,-0.0075748,0.0846392,336371.295,4451932.229
3,-0.1267444,0.0354891,336361.295,4451927.229
4,-0.1452229,0.0519974,336366.295,4451927.229
5,-0.0324855,0.072631,336371.295,4451927.229
6,-0.0698366,0.0591528,336386.295,4451927.229
7,-0.0016699,0.0462507,336391.295,4451927.229
8,0.0311757,0.0735517,336396.295,4451927.229
9,-0.1481614,0.0411413,336366.295,4451922.229
10,-0.0519895,0.0636492,336381.295,4451922.229
11,0.0181002,0.087088,336386.295,4451922.229
12,-0.1218842,0.0491106,336391.295,4451922.229
13,-0.0103102,0.0519198,336396.295,4451922.229
14,0.1245826,0.0666636,336401.295,4451922.229
15,-0.064859,0.0407963,336411.295,4451922.229
16,0.0479075,0.0847249,336416.295,4451922.229
17,-0.0435797,0.0441701,336501.295,4451922.229
18,-0.0348005,0.0369296,336506.295,4451922.229
19,-0.1435165,0.0189586,336511.295,4451922.229
20,-0.0032037,0.0420484,336516.295,4451922.229
21,-0.0841251,0.0129629,336521.295,4451922.229
22,-0.1072255,0.0476853,336356.295,4451917.229
23,-0.1308715,0.0471433,336361.295,4451917.229
24,-0.0853668,0.0236193,336366.295,4451917.229
25,-0.0792244,0.0456772,336371.295,4451917.229
26,-0.0811536,0.0377394,336391.295,4451917.229
27,-0.0375767,0.0734489,336396.295,4451917.229
28,-0.1236677,0.0668027,336401.295,4451917.229
29,-0.0610673,0.065085,336406.295,4451917.229
30,0.0515928,0.0844005,336411.295,4451917.229
31,-0.1021274,0.0649773,336416.295,4451917.229
32,-0.0498538,0.0742494,336421.295,4451917.229
33,-0.0857559,0.0842733,336426.295,4451917.229
34,-0.0669205,0.1009172,336431.295,4451917.229
35,0.0284859,0.0664644,336436.295,4451917.229
36,-0.0463282,0.0343479,336441.295,4451917.229
37,-0.0067531,0.0712318,336446.295,4451917.229
38,0.0276246,0.0587761,336451.295,4451917.229
39,0.0197487,0.0870171,336456.295,4451917.229
40,-0.0002456,0.0566244,336476.295,4451917.229
41,0.1209193,0.073055,336481.295,4451917.229
42,-0.0088967,0.0653106,336486.295,4451917.229
43,0.0476975,0.0734938,336491.295,4451917.229
44,-0.0163619,0.0870192,336496.295,4451917.229
45,-0.0399602,0.0524146,336501.295,4451917.229
46,0.0467376,0.0353282,336506.295,4451917.229
47,0.110105,0.0528799,336526.295,4451917.229
48,-0.1253771,0.0484286,336361.295,4451912.229
